ZTF20aauomaf 0.085200 Ia
58985.2723958 2 19.5642 0.149226
58979.2980324 2 19.3527 0.161228
58976.313831 2 19.0658 0.263693
58973.3152662 2 19.0459 0.129919
58970.3594097 2 18.9591 0.108687
58967.3533796 2 18.8905 0.0981597
58964.2759606 2 18.6572 0.0904829
58961.4027199 2 18.5476 0.119496
58954.4412037 2 18.3832 0.101969
