ZTF19aawmqtd 0.057000 Ia-91T
58697.1844097 2 19.4865 0.138537
58694.1911921 2 19.2606 0.146537
58691.1930093 2 19.1041 0.0934548
58684.1747454 2 18.8666 0.128878
58681.2785764 2 18.779 0.113824
58678.2160417 2 18.6166 0.0874923
58675.2532639 2 18.6059 0.0825989
58669.3285532 2 18.4061 0.0676248
58663.299294 2 18.1403 0.0606114
58657.3572222 2 17.8826 0.0545761
58653.4020139 2 17.9275 0.0838815
58650.3156019 2 17.9692 0.0767718
58647.2754977 2 18.1341 0.0889733
58644.3159722 2 18.3659 0.0753091
58641.4039468 2 18.7806 0.083249
