ZTF18abvfecb 0.125000 II
58441.2545486 1 19.4287 0.186862
58437.3984722 1 19.5553 0.204646
58434.2853588 1 19.4713 0.167896
58428.3113773 1 19.261 0.105993
58425.3460185 1 19.2697 0.0856326
58422.4116088 1 19.2537 0.187815
58397.3959606 1 18.8442 0.0692018
58388.408206 1 18.9078 0.136419
58385.4394097 1 19.0495 0.129596
58382.4172454 1 19.1696 0.109596
58378.4437269 1 19.3877 0.097152
58375.4437616 1 19.6476 0.114562
58372.4470139 1 20.1802 0.148128
