ZTF20aabcouv 0.048000 Ia
58880.1299421 1 19.4587 0.158352
58877.1705556 1 19.3032 0.121301
58876.15625 1 19.2588 0.122188
58876.15625 1 19.2606 0.121998
58874.1712847 1 19.0492 0.120343
58871.1716898 1 18.8896 0.0846049
58867.2067477 1 18.5981 0.104417
58867.1471065 1 18.4897 0.211444
58862.1479051 1 18.3413 0.0792959
58861.1024306 1 18.2981 0.0742103
58859.1095602 1 18.3097 0.0994108
58856.1229977 1 18.4892 0.0954295
58850.1835532 1 18.8739 0.070941
