ZTF18adbckox 0.050000 Ia
58540.1254051 2 19.2789 0.109132
58523.1500463 2 18.3232 0.0513154
58514.1279398 2 18.2264 0.0680193
58506.2200463 2 18.0231 0.0674169
58503.1434838 2 17.8108 0.0674781
58493.1273495 2 17.4963 0.0491801
58490.1862616 2 17.546 0.0424771
58487.2356829 2 17.672 0.0385619
58482.2220486 2 18.0104 0.0612953
58481.3121759 2 18.1401 0.0716401
