ZTF18aazixbw 0.059400 Ia
58337.1949537 2 20.247 0.19602
58334.1655093 2 20.1764 0.179133
58331.1981366 2 20.3102 0.173238
58319.2434491 2 19.5884 0.131132
58311.2180208 2 19.1229 0.135242
58308.2454514 2 19.0072 0.0890064
58302.3415972 2 18.6583 0.114118
58299.3416551 2 18.5699 0.121844
58293.2498032 2 18.3343 0.0575203
58290.3306134 2 18.3538 0.0688753
58287.2857986 2 18.5138 0.0374525
58284.3036227 2 18.9573 0.0627045
58281.344537 2 19.5075 0.0969526
