ZTF18aauvnhh 0.058000 Ia
58985.2968056 1 19.8324 0.198102
58985.294456 1 20.0657 0.142591
58980.2231713 1 20.0912 0.181106
58979.2868171 1 20.0191 0.229883
58979.2830787 1 20.0074 0.264433
58979.2473032 1 20.0255 0.214413
58976.2044676 1 19.4703 0.312563
58971.2941319 1 19.8843 0.214748
58970.2744444 1 20.1464 0.183323
58968.2933796 1 19.8185 0.15065
58967.2744792 1 19.8389 0.150839
58965.2575579 1 19.8021 0.164585
58964.3408912 1 20.1449 0.216053
58963.3534259 1 19.9993 0.176858
58963.3502546 1 19.9385 0.188089
58962.355625 1 19.8204 0.157938
58955.4005556 1 19.9367 0.181355
58955.3996412 1 19.8896 0.170884
58954.3803356 1 19.8658 0.171226
58954.3784954 1 19.9782 0.209149
58944.4413194 1 20.0091 0.359704
58943.423125 1 19.8183 0.223788
58941.4584491 1 20.1303 0.220506
58941.4437269 1 19.8465 0.183611
58940.3791667 1 19.9009 0.190433
58937.3874769 1 19.9905 0.208182
58936.4665278 1 19.972 0.162434
58936.4651389 1 20.1407 0.219044
58914.4791551 1 19.9574 0.206982
58911.4312384 1 20.0881 0.222297
58911.430787 1 19.9657 0.241687
58908.5301736 1 20.1299 0.351445
58908.5301736 1 20.1299 0.351445
58904.4226042 1 19.8713 0.198732
58898.4585417 1 20.091 0.187838
58898.4580903 1 19.8609 0.145092
58893.4573611 1 20.0361 0.25878
58887.4448611 1 19.5817 0.252217
58887.4444097 1 19.8669 0.341251
58884.4640278 1 20.143 0.237034
58884.463588 1 19.8039 0.24105
58881.5050579 1 20.0677 0.177594
58881.4972801 1 19.8582 0.175855
58878.5035648 1 19.905 0.200422
58878.5031134 1 20.1207 0.215268
58875.4977546 1 19.8177 0.17832
58875.4603472 1 20.0667 0.239234
58872.4370023 1 19.9642 0.17537
58872.4365509 1 20.0645 0.209856
58863.4223148 1 19.6581 0.306054
58856.5599653 1 19.8017 0.156816
58853.5396528 1 20.0475 0.175526
58853.525625 1 20.0065 0.196686
58850.5728241 1 20.2017 0.240312
58850.5714699 1 19.7063 0.186705
58850.5606134 1 20.0788 0.349111
58850.5466319 1 20.0403 0.232338
58846.5498032 1 19.9103 0.129561
58835.5506366 1 19.9305 0.310283
58726.1619792 1 19.8438 0.206246
58726.1606134 1 19.9998 0.211859
58723.1562731 1 19.7662 0.210523
58723.1549074 1 19.9809 0.241002
58720.1550463 1 19.8882 0.213262
58720.1527894 1 19.8045 0.189542
58714.1562963 1 19.9117 0.186645
58714.1558449 1 19.8264 0.164604
58692.1963542 1 20.0534 0.178525
58692.1954514 1 19.8542 0.191453
58684.207581 1 19.7239 0.174061
58684.2071296 1 20.0168 0.205004
58678.256956 1 19.7527 0.250205
58672.1793403 1 20.1995 0.262538
58672.1784259 1 19.9953 0.210629
58666.2060532 1 19.8673 0.215898
58666.2032986 1 19.7203 0.198728
58660.1911458 1 20.0049 0.20597
58657.1935995 1 19.9826 0.174046
58657.1917593 1 19.9132 0.176727
58654.2438079 1 19.8603 0.198268
58654.2429051 1 19.9533 0.246915
58651.1915046 1 19.6736 0.29874
58642.2993403 1 19.976 0.177405
58642.2984259 1 20.0533 0.188292
58639.2354051 1 19.9893 0.185969
58639.2331134 1 19.9575 0.155411
58636.2749306 1 20.0307 0.19778
58636.2554282 1 19.9855 0.122571
58633.2578588 1 19.9859 0.139522
58633.2560185 1 20.1209 0.194796
58628.2143519 1 19.8454 0.15399
58616.2339236 1 19.883 0.204757
58616.2334722 1 19.8133 0.250143
58612.2752315 1 19.9319 0.166778
58612.2747801 1 19.905 0.121653
58606.3995139 1 19.816 0.139869
58606.3990509 1 19.9641 0.17277
58600.2377083 1 19.9366 0.163392
58597.2911111 1 19.8501 0.212039
58596.2496065 1 20.0194 0.149934
58587.3754398 1 19.7473 0.266176
58586.3996181 1 19.882 0.173221
58584.2874884 1 20.0307 0.173922
58583.3956134 1 19.7454 0.144057
58580.401956 1 19.9239 0.202759
58580.4001042 1 20.1628 0.238426
58575.3179861 1 19.7929 0.168532
58572.3784606 1 19.9258 0.252541
58572.3377894 1 19.8501 0.18267
58567.2946759 1 20.0381 0.247044
58556.4416667 1 20.2356 0.279711
58547.3775463 1 19.8821 0.190101
58547.356956 1 20.3474 0.298787
58547.356956 1 20.3474 0.298787
58541.4191319 1 20.0095 0.30561
58526.4717361 1 19.9101 0.224738
58526.4534375 1 19.7953 0.27567
58522.4901852 1 20.3285 0.296463
58522.4897338 1 20.1135 0.206101
58522.4722917 1 20.1628 0.241984
58522.4485648 1 19.8873 0.146515
58494.5279977 1 19.9916 0.151519
58494.5275463 1 20.2181 0.215955
58491.5171644 1 20.1565 0.216946
58491.5059375 1 20.0121 0.172891
58486.5540046 1 19.8943 0.16239
58472.5390046 1 19.982 0.17978
