ZTF19abdzehg 0.024000 Ia
58794.1250347 2 19.9311 0.341255
58791.1247917 2 20.252 0.217553
58790.1853125 2 19.9075 0.24934
58788.2267014 2 19.913 0.287241
58785.234838 2 19.9636 0.201814
58782.1857986 2 19.7634 0.215111
58779.2181713 2 19.6674 0.183294
58776.1929861 2 19.5861 0.136396
58766.1873495 2 19.2334 0.154243
58763.2523611 2 19.221 0.165701
58760.2756134 2 19.0975 0.127049
58757.2784491 2 18.9834 0.100081
58750.258044 2 18.7643 0.0829534
58736.3783333 2 18.3077 0.0670146
58730.3875926 2 18.0738 0.0819772
58722.3150694 2 17.6369 0.0593908
58718.3748264 2 17.3956 0.042228
58715.3666782 2 17.2422 0.0545388
58712.3563542 2 17.1646 0.0498561
58703.4014815 2 16.9861 0.0326771
58700.4169329 2 16.9143 0.0375236
58697.3994444 2 16.6998 0.0435212
58694.3856829 2 16.499 0.0361862
58691.3712269 2 16.3436 0.0300666
58688.4126852 2 16.2912 0.036145
58685.4187616 2 16.3204 0.0484825
58681.4205671 2 16.5034 0.0295033
58677.2964583 2 17.0181 0.0513858
58674.4646875 2 17.7561 0.0495148
