ZTF18aaxcxih 0.070000 Ia
58320.3730671 2 20.3065 0.133581
58317.4149653 2 19.9386 0.194402
58299.407662 2 19.348 0.172455
58296.3224884 2 19.1466 0.143465
58293.3048148 2 19.0639 0.095046
58290.3895023 2 18.9815 0.0650342
58287.4538889 2 18.8102 0.0446622
58284.3528241 2 18.5907 0.0430519
58281.4566782 2 18.5999 0.0371949
58278.3280556 2 18.5094 0.0339282
58272.5 2 18.7565 0.0609863
58269.5 2 18.9517 0.0953983
58266.25 2 19.6466 0.206381
