ZTF19ablovot 0.044000 Ia
58760.2967477 2 19.5003 0.140923
58757.3233796 2 19.6029 0.142498
58757.3229282 2 19.7879 0.164611
58750.3140394 2 19.292 0.116854
58750.313588 2 19.3079 0.131586
58747.3996875 2 19.1385 0.126445
58747.3987731 2 19.3116 0.131208
58744.3798958 2 18.9611 0.113157
58739.3771412 2 18.7224 0.111183
58738.376412 2 18.6802 0.0964312
58736.4175347 2 18.5063 0.0937013
58735.3770949 2 18.521 0.0697993
58733.3978472 2 18.3027 0.0723556
58730.4176852 2 18.201 0.0668088
58726.3780093 2 18.0915 0.0596199
58725.4823032 2 18.1937 0.0687271
58723.3918171 2 18.0606 0.0548441
58720.3885995 2 17.8723 0.0815861
58719.4381366 2 17.7837 0.0654858
58717.4764236 2 17.6913 0.0555527
58716.4397801 2 17.6522 0.0679236
58712.3970023 2 17.4016 0.0631114
58711.4072454 2 17.5248 0.0550469
58709.4168056 2 17.4306 0.0422474
58707.4798032 2 17.5263 0.0375283
58704.4618171 2 17.6572 0.0504903
58703.4241088 2 17.7622 0.0422405
58699.4815394 2 18.337 0.0781613
58696.4822106 2 19.449 0.11672
58696.4817593 2 19.3415 0.0985307
