ZTF19aartuev 0.053447 Ia
58642.2109722 2 19.0118 0.153477
58638.2105093 2 18.7786 0.0959589
58635.231169 2 18.7263 0.0812327
58634.2518981 2 18.6696 0.0920014
58617.2516782 2 18.0045 0.0700671
58617.2512153 2 18.0371 0.0932857
58607.2493519 2 17.796 0.0677173
58607.2484491 2 17.7429 0.0600034
58598.2965046 2 18.4728 0.0799134
