ZTF18aazblzy 0.064000 Ia
58337.1930787 2 20.5227 0.206021
58334.1669213 2 20.536 0.206431
58331.1948264 2 20.1364 0.169428
58331.1919792 2 20.2834 0.20745
58322.2344907 2 19.9274 0.153459
58322.2330787 2 19.8337 0.143006
58319.2448611 2 19.6638 0.168635
58314.2039931 2 19.2627 0.0700964
58311.2097454 2 19.2024 0.120822
58311.2008796 2 19.1573 0.0953197
58308.2398032 2 19.1131 0.0863872
58308.2339815 2 19.0559 0.0787216
58302.3046644 2 19.0058 0.127582
58299.3523958 2 18.5797 0.0846174
58299.3500694 2 18.6982 0.115249
58296.2680903 2 18.4391 0.0743111
58290.3278125 2 18.4752 0.0763138
58290.3264005 2 18.4326 0.0809446
58287.286713 2 18.4996 0.0302139
58287.2706944 2 18.5555 0.0359264
58284.2853009 2 18.8986 0.0493826
58281.216875 2 19.7633 0.101451
58281.215 2 19.6529 0.103535
