ZTF19aatvljp 0.052000 Ia
58649.4657176 1 20.1948 0.266869
58643.4403356 1 19.9776 0.243275
58640.4462847 1 19.8347 0.195626
58640.4458333 1 19.6377 0.17977
58637.4621991 1 19.4814 0.149334
58637.4617477 1 19.6631 0.13334
58634.4785417 1 19.5673 0.162906
58634.4617361 1 19.3662 0.126743
58634.4612847 1 19.3654 0.110494
58628.460625 1 18.8222 0.132487
58617.4641667 1 17.4294 0.0491247
58617.4628009 1 17.4421 0.0576185
58607.4714815 1 17.9444 0.0556493
58607.4696644 1 17.9512 0.0701553
