ZTF20aapycrh 0.015000 II
58980.2462963 2 18.9042 0.0706338
58974.2342245 2 18.8661 0.0991896
58971.1828935 2 18.6718 0.0927889
58971.1744097 2 18.7629 0.0894582
58970.2080093 2 18.6879 0.0828926
58968.1923032 2 18.7595 0.0743322
58965.2802083 2 18.7187 0.0755076
58962.263831 2 18.721 0.0729915
58954.2105903 2 18.7039 0.0849894
58944.3461227 2 18.6241 0.145845
58939.2108449 2 18.5992 0.0862469
58939.1870833 2 18.5897 0.0844028
58915.3851042 2 18.5845 0.0870603
58914.3835995 2 18.5524 0.0983547
58913.2455324 2 18.55 0.0969533
58913.2073495 2 18.5158 0.0730959
58912.4257292 2 18.5446 0.0711605
58911.226412 2 18.4967 0.100024
58909.3213426 2 18.5513 0.0707783
58906.2365394 2 18.5834 0.087761
58905.2444444 2 18.6527 0.0858803
58904.2424421 2 18.698 0.0801324
58903.3914583 2 18.7837 0.0803621
