ZTF19acyqwlm 0.030000 Ia
58912.1562731 1 20.0365 0.226998
58909.2256829 1 19.8189 0.298164
58906.268206 1 20.1816 0.198557
58906.2668171 1 20.2496 0.225292
58903.2360069 1 20.0243 0.172613
58898.265787 1 19.9695 0.178055
58898.2125579 1 20.0619 0.188502
58898.2078588 1 20.0148 0.189923
58898.2064815 1 20.0994 0.157279
58886.2034259 1 19.7323 0.305885
58881.2003472 1 19.8756 0.222884
58881.1825 1 19.867 0.176118
58879.1886921 1 19.5313 0.204567
58879.1783681 1 19.9229 0.226837
58878.2285301 1 19.6438 0.223742
58876.1988194 1 19.5567 0.132338
58876.1988194 1 19.5572 0.131925
58876.1879282 1 19.5906 0.137368
58876.1879282 1 19.5965 0.140166
58867.3929051 1 18.9171 0.0950944
58867.2143056 1 19.062 0.117578
58864.1987037 1 18.615 0.0875549
58864.1797106 1 18.6668 0.0843392
58864.1745023 1 18.6519 0.104775
58863.1778241 1 18.3845 0.272783
58862.4347917 1 18.4656 0.118069
58862.4334028 1 18.4396 0.0999061
58861.3510185 1 18.3546 0.0975071
58861.1118171 1 18.3391 0.0935373
58860.1141898 1 18.2145 0.189965
58859.1435069 1 17.9464 0.105246
58855.4245718 1 17.6324 0.0503169
58855.1795023 1 17.6491 0.0748709
58854.4941319 1 17.6135 0.081342
58854.4927431 1 17.5435 0.062274
58853.4628356 1 17.4129 0.0531523
58853.4529282 1 17.4448 0.044461
58852.4681597 1 17.3467 0.0598306
58852.4676736 1 17.3749 0.0468696
58850.4314931 1 17.1898 0.051179
58850.4296644 1 17.2003 0.0464202
58849.4857986 1 17.1502 0.0425293
58849.4732523 1 17.1113 0.0456543
58846.4872106 1 17.013 0.0413171
58846.4867361 1 16.9904 0.0364331
58833.5103704 1 18.7034 0.188884
58833.5098958 1 18.6548 0.227172
