ZTF20aafmdzj 0.055700 Ic-BL
58905.1081713 2 19.2442 0.193695
58900.1495486 2 19.0052 0.172718
58894.1414005 2 18.7168 0.0884909
58885.1610185 2 18.024 0.111166
58881.1057639 2 17.9446 0.0666225
58878.171713 2 17.9485 0.122774
58875.1973611 2 17.8548 0.074203
58872.1448611 2 17.9004 0.0747822
58863.1908912 2 17.9835 0.222438
