ZTF18abimsyv 0.085000 Ia
58364.2202894 1 20.3885 0.178091
58352.1864352 1 19.3215 0.157603
58348.3427894 1 19.278 0.131743
58346.3276389 1 19.0782 0.111086
58345.1846065 1 18.97 0.0867216
58343.1770023 1 18.7868 0.119586
58338.1781829 1 18.609 0.0774125
58338.1767593 1 18.5791 0.104727
58332.2249769 1 18.5694 0.0678669
58332.2036227 1 18.4877 0.0863395
58329.4123032 1 18.5273 0.107897
58323.4118981 1 19.2079 0.143113
58323.3928125 1 19.1523 0.143792
58320.4290741 1 19.8195 0.201692
