ZTF19acmdpyr 0.045000 Ia
58886.5570486 2 20.064 0.204179
58877.5191435 2 20.0934 0.280212
58811.1217824 2 17.6746 0.0862501
58797.0743519 2 17.8288 0.0793145
58796.0968981 2 17.909 0.0787689
58795.082419 2 18.032 0.0666342
58794.1006829 2 18.1766 0.0658518
58793.1021991 2 18.3024 0.0854221
58792.1202431 2 18.5105 0.0902656
58791.0980093 2 18.6988 0.0782946
58790.1202199 2 19.0279 0.142097
58785.1011111 2 20.4692 0.2914
