ZTF19adafqoe 0.090000 Ia
58876.1947801 1 20.4285 0.256182
58867.2129514 1 19.8602 0.162636
58864.1948843 1 19.6073 0.125631
58862.4292245 1 19.1588 0.301869
58861.1140741 1 19.1701 0.193473
58855.1827199 1 18.9158 0.187356
58854.4858681 1 18.7459 0.124673
58853.4557176 1 18.7126 0.0870451
58852.4746181 1 18.6904 0.0693349
58850.426412 1 18.6647 0.118903
58846.2464468 1 18.6243 0.0756813
58836.4127894 1 19.9145 0.150632
