ZTF19adcdrng 0.080000 Ia
58894.2736574 2 19.6701 0.131862
58891.2931481 2 19.6817 0.204418
58886.2933681 2 19.5976 0.203604
58879.3516898 2 19.072 0.336516
58876.337419 2 19.2463 0.118951
58873.3296991 2 19.1373 0.116575
58867.3725 2 18.7876 0.0889831
58859.3381944 2 18.614 0.167092
58855.5229282 2 18.6287 0.0768757
58849.4284144 2 19.0573 0.0820068
58846.4589931 2 19.4955 0.133798
