ZTF18accndxn 0.032000 Ia
58494.5154051 1 20.141 0.181929
58487.4936458 1 20.123 0.205509
58469.5084259 1 19.2029 0.164459
58468.4492593 1 19.5683 0.158568
58465.5416551 1 19.28 0.140357
58450.4904051 1 17.8612 0.0621603
58443.4920255 1 17.4019 0.0615999
58441.5097454 1 17.3152 0.0526776
58437.5162616 1 17.3084 0.0426593
58434.5296991 1 17.4401 0.054975
58432.4679977 1 17.6845 0.0640102
58430.5316667 1 17.9041 0.0620584
58427.5356019 1 18.5356 0.0799876
