ZTF19abanayw 0.036300 II
58692.1981944 1 18.912 0.153679
58686.1924306 1 19.0272 0.103486
58683.1806597 1 18.8101 0.0932167
58680.1915394 1 18.6431 0.143254
58680.170463 1 18.623 0.135654
58677.170544 1 18.86 0.161381
58677.1700926 1 18.6914 0.130971
58673.1747917 1 18.6092 0.0928394
58670.1910185 1 18.4361 0.0762169
58668.19 1 18.4436 0.0735482
58667.1927083 1 18.3979 0.0631903
58662.1906597 1 18.3671 0.0710062
58658.1896065 1 19.6996 0.141099
