ZTF19aariwpf 0.351000 Ia
58636.2037153 2 20.1983 0.196018
58633.300625 2 20.27 0.233349
58633.2057523 2 20.0711 0.211013
58617.2731481 2 19.2943 0.211959
58617.2530208 2 19.2998 0.201459
58612.2492824 2 19.0531 0.0938499
58612.248831 2 19.0955 0.091928
58606.2723843 2 18.7315 0.0991388
58606.2508333 2 18.6646 0.0792021
58600.2761343 2 18.7712 0.086662
58596.3336921 2 19.1991 0.109248
58596.2735532 2 19.0276 0.12963
58593.3162269 2 19.5637 0.323058
58593.3153009 2 19.442 0.231334
