ZTF20aabqwtz 0.023000 II
58966.4263542 1 20.9637 0.26547
58964.3913194 1 21.0096 0.303082
58963.4577083 1 21.0797 0.320975
58941.4950231 1 20.6251 0.260991
58940.4890856 1 20.6033 0.322251
58936.4856019 1 20.3409 0.210067
58914.4440741 1 19.813 0.251326
58913.5197106 1 19.7103 0.156437
58912.5349769 1 19.7479 0.123148
58911.5462963 1 19.5764 0.146508
58908.5535764 1 19.6957 0.161771
58908.5535764 1 19.6957 0.161771
58905.5306713 1 19.6555 0.367166
58903.533125 1 19.536 0.117027
58900.5392361 1 19.5056 0.246157
58899.5385069 1 19.5616 0.133801
58898.5523727 1 19.4584 0.120257
58895.5296296 1 19.46 0.140804
58893.4867245 1 19.3672 0.138048
58892.5548843 1 19.2894 0.161285
58891.4696528 1 19.2802 0.172225
58890.5533218 1 19.1514 0.36694
58887.4569329 1 19.6119 0.300883
58885.4704167 1 19.2325 0.185887
58881.5165856 1 19.2637 0.107907
58880.4847685 1 19.2246 0.145349
58879.5119792 1 19.2631 0.154745
58878.5353356 1 19.2512 0.155552
58876.5165394 1 19.2042 0.123321
58876.5165394 1 19.2445 0.122615
58875.487419 1 19.1204 0.107642
58866.5762963 1 19.0043 0.134121
58854.5515162 1 18.8981 0.170011
58851.5547222 1 18.6992 0.127829
58850.5537847 1 18.7156 0.10419
