ZTF19aaduufr 0.040000 II
58903.2026157 2 20.2483 0.196764
58898.1534491 2 20.1765 0.224594
58873.2294792 2 20.2066 0.197123
58867.2600694 2 19.9065 0.200936
58866.3503704 2 20.0459 0.214807
58864.2229977 2 20.0999 0.17157
58862.2983218 2 19.8373 0.188396
58860.342338 2 19.8956 0.259485
58855.3233218 2 19.8133 0.217447
58853.4327662 2 20.0201 0.146308
58851.4676042 2 20.238 0.236254
58850.4732639 2 19.8958 0.215674
58846.2897685 2 19.9097 0.180865
58836.4948727 2 20.0251 0.165301
58833.4041667 2 19.8842 0.292216
58833.3349653 2 19.8962 0.239203
58831.4259144 2 19.8731 0.253548
58830.4190741 2 19.9513 0.246398
58830.328044 2 20.0235 0.291065
58827.3182176 2 19.4677 0.207425
58794.4306829 2 19.8037 0.152682
58791.5081829 2 19.9055 0.156486
58788.5403819 2 19.8668 0.181781
58784.5329514 2 19.6425 0.350404
58781.508287 2 19.5791 0.229935
58778.4943981 2 19.5159 0.18414
58766.534375 2 19.9048 0.221158
58759.5136921 2 19.5332 0.156612
58756.5132523 2 19.5991 0.133395
58748.4890856 2 19.4909 0.188905
58745.4920023 2 19.3853 0.208811
58739.4693403 2 19.3072 0.267846
58736.5078819 2 19.333 0.14572
58733.5118866 2 19.3513 0.163298
58617.2215509 2 18.2662 0.0730323
58606.1771181 2 18.3439 0.0687515
58601.2691204 2 18.3547 0.0688023
58594.1661806 2 18.5025 0.0587604
58587.1638889 2 18.5885 0.106505
58581.2379167 2 18.7352 0.0920838
58573.2423264 2 18.858 0.0998448
58567.218206 2 18.8635 0.0668
58556.1934375 2 19.1619 0.15988
58546.3003819 2 19.0342 0.104045
58546.3003819 2 19.0342 0.104045
58541.2804514 2 18.9929 0.172025
58538.239919 2 18.8002 0.20777
58534.3406134 2 19.2148 0.207637
58526.1897569 2 19.1304 0.171776
58523.2185648 2 18.9886 0.0824909
58509.2805093 2 19.0528 0.118601
58506.427581 2 19.1258 0.22672
