ZTF19aalzmiu 0.110000 Ia
58586.4334722 1 20.6071 0.270382
58583.383831 1 20.0995 0.215667
58580.4131481 1 20.0337 0.166993
58575.4867593 1 19.5919 0.21406
58572.3844097 1 19.3946 0.14296
58567.4797685 1 18.988 0.179689
58560.5260185 1 18.6733 0.0705695
58556.4723958 1 18.6199 0.074083
58547.3922106 1 19.283 0.114467
58541.4786574 1 20.8403 0.367927
