ZTF19abzlsbl 0.030000 Ia
58793.3563657 2 19.8171 0.204767
58790.3712963 2 19.7978 0.227386
58790.3703935 2 19.8091 0.18858
58784.3913773 2 19.4915 0.221961
58784.3778472 2 19.659 0.214371
58778.3792593 2 19.1762 0.178947
58778.3765509 2 19.3471 0.164815
58775.3749537 2 18.9786 0.0934204
58775.3559144 2 18.9838 0.120655
58772.3777431 2 18.6598 0.340289
58772.3772917 2 18.5671 0.298894
58766.4829745 2 18.2823 0.0614597
58765.4182176 2 18.2523 0.0599208
58763.4811458 2 18.1733 0.0681499
58759.3762731 2 17.8972 0.0433655
58756.4812963 2 17.8112 0.0597911
58751.5033796 2 17.8295 0.0393806
58750.4631481 2 17.915 0.062512
58748.4405556 2 18.0907 0.056967
58747.4603125 2 18.2335 0.070414
58745.4597338 2 18.6666 0.105929
58744.4594444 2 18.9573 0.176902
