ZTF19abgjlef 0.058000 Ia
58733.4001042 2 20.4674 0.203551
58727.4848727 2 20.2886 0.237144
58724.3988542 2 20.2128 0.23052
58718.4792824 2 19.7583 0.165233
58715.4204861 2 19.4806 0.151436
58712.4040162 2 19.154 0.144934
58709.3943171 2 19.1997 0.117903
58706.4026157 2 19.2326 0.0995386
58703.4250463 2 19.1641 0.106208
58700.4396528 2 18.9711 0.0854824
58697.4207292 2 18.735 0.0694315
58694.4025 2 18.6086 0.0637908
58691.4046065 2 18.4914 0.0590249
58688.4219907 2 18.5437 0.0613749
58681.4295486 2 19.1851 0.114339
58678.4735648 2 19.9957 0.13943
