ZTF19acyndpl 0.055200 Ia
58881.5037037 1 20.3766 0.281036
58878.5236806 1 20.0299 0.280699
58875.5000116 1 20.0787 0.206277
58872.4425463 1 19.685 0.200982
58861.498912 1 18.6493 0.18959
58856.5449884 1 18.3547 0.0712153
58853.5410069 1 18.0639 0.0689102
58850.5619676 1 17.845 0.0847835
58831.5665741 1 18.5481 0.205976
