ZTF20aaeopvv 0.060000 Ia
58891.1603704 1 19.8211 0.244457
58881.1426042 1 19.1002 0.192692
58877.1847917 1 18.6936 0.101242
58874.1621065 1 18.4895 0.0737275
58871.1667477 1 18.1962 0.09544
58867.1296412 1 17.931 0.0866386
58864.1453472 1 17.9281 0.0291843
58862.1096528 1 18.1012 0.0356107
58859.0916667 1 18.3599 0.0673288
58856.1066435 1 19.1025 0.100663
