ZTF20aahgmud 0.117000 Ia
58904.4588079 1 20.6805 0.302245
58903.3568634 1 20.7198 0.249111
58899.4001157 1 20.4287 0.190297
58898.4194907 1 20.2657 0.150279
58895.3840741 1 20.0055 0.162159
58892.3809144 1 19.6168 0.164049
58887.4257755 1 19.1566 0.154215
58884.4423032 1 19.2605 0.14581
58881.4614583 1 19.3513 0.0990016
58878.4865509 1 19.4357 0.121925
58875.4569907 1 19.7534 0.168849
58871.4426852 1 20.4874 0.23013
