ZTF18abjrfqx 0.040000 Ia
58389.2606597 2 19.8351 0.178841
58386.251875 2 19.4912 0.185731
58383.298669 2 19.4823 0.182015
58380.2955093 2 19.5923 0.1167
58374.3207407 2 19.3482 0.0997972
58368.295706 2 18.9033 0.0691274
58365.337662 2 18.6822 0.0725115
58361.3125116 2 18.5155 0.0666616
58358.2722917 2 18.5455 0.0667087
58355.4204861 2 18.4954 0.0981908
58355.2926389 2 18.4616 0.0670608
58352.3142477 2 18.3788 0.0786577
58349.3140625 2 18.2486 0.0524146
58346.3815278 2 17.9782 0.0473073
58343.3527546 2 17.7348 0.0421005
58340.3781713 2 17.5849 0.0510182
58337.352963 2 17.6298 0.0453051
58334.3684954 2 17.7307 0.0449289
58328.4139236 2 18.5787 0.130045
58325.4666782 2 19.538 0.142982
