ZTF19aatlqdf 0.078500 II
58692.1968056 1 19.8517 0.177033
58684.2066782 1 19.7036 0.148428
58678.2583102 1 19.5742 0.24274
58672.1797917 1 19.778 0.191534
58666.2023495 1 19.5541 0.122797
58657.1913079 1 19.4728 0.124943
58654.2518171 1 19.4217 0.136027
58651.1910532 1 19.3223 0.225636
58645.2333565 1 19.258 0.133684
58642.1914931 1 19.1296 0.0981204
58639.232662 1 19.1439 0.109274
58636.251713 1 19.0669 0.0795567
58633.2555671 1 19.0683 0.102288
58628.2138773 1 18.9614 0.0805033
58616.2325347 1 18.616 0.10327
58612.2725231 1 18.7242 0.0800914
58606.4179051 1 18.8378 0.0934988
