ZTF18abzbkby 0.025900 Ia
58507.1649537 1 19.9505 0.20418
58493.1846528 1 19.7862 0.161926
58490.124537 1 19.6549 0.164709
58483.1178472 1 19.6445 0.158976
58481.2708102 1 19.6889 0.207693
58437.2465741 1 18.7816 0.101964
58434.2670833 1 18.6494 0.109809
58431.2351736 1 18.437 0.102203
58428.2179398 1 18.1415 0.106417
58425.3414352 1 17.9424 0.0517452
58422.2689699 1 17.6266 0.0605775
58397.3744213 1 16.3459 0.054394
58390.3780324 1 17.4245 0.0408526
