ZTF19aanydko 0.070000 Ia
58636.3148727 2 20.6276 0.216742
58633.3140625 2 20.4938 0.190052
58628.3342245 2 20.4023 0.290269
58617.3159144 2 19.89 0.180126
58606.3560532 2 19.4455 0.104437
58591.3981944 2 18.8812 0.119694
58584.3929282 2 18.5567 0.0657642
58577.4369792 2 18.4127 0.222048
58573.4384375 2 19.0139 0.098393
