ZTF18adbyxua 0.107000 Ia
58511.4736574 1 19.7815 0.193846
58509.504838 1 19.4511 0.19717
58502.458044 1 18.9981 0.186841
58494.5014468 1 18.7347 0.079618
58493.556875 1 18.7518 0.0584421
58492.5395486 1 18.6923 0.0840391
58491.4816088 1 18.7422 0.180769
58486.5401389 1 19.0811 0.124895
58482.5255671 1 19.6134 0.213991
