ZTF19abzqkdz 0.096000 Ia
58791.3390625 2 19.9946 0.15404
58788.2721528 2 19.9565 0.217402
58782.3277431 2 19.8327 0.141668
58779.3146991 2 19.745 0.12221
58776.2828241 2 19.6207 0.154054
58773.2925463 2 19.5176 0.21915
58763.3606019 2 19.136 0.0859303
58756.3936111 2 18.8866 0.0883966
58751.3167824 2 18.9604 0.0992754
58748.3548495 2 19.0334 0.088342
58745.3987384 2 19.3035 0.17225
