ZTF20aahjymt 0.070000 Ia
58915.1513426 2 19.2863 0.195226
58912.2083796 2 19.1487 0.144327
58904.2102199 2 19.0851 0.104359
58898.294456 2 19.0964 0.111917
58894.2521528 2 18.84 0.0864962
58891.2743866 2 18.5963 0.10087
58884.2128356 2 18.4309 0.102604
58881.2920023 2 18.451 0.07514
58878.2932986 2 18.568 0.096672
58875.270706 2 18.8529 0.074388
