ZTF19aamooex 0.080000 Ia
58597.3616319 2 19.6344 0.160095
58594.341956 2 19.4814 0.270145
58587.304838 2 19.2239 0.13114
58584.3271296 2 19.0621 0.113413
58580.3237037 2 18.915 0.0996539
58575.3900463 2 18.7772 0.119003
58572.3107755 2 18.7616 0.0899748
58567.3726968 2 18.8419 0.0867458
58559.2862616 2 19.6932 0.173375
