ZTF19aaqxosb 0.019310 II
58692.195 1 20.0942 0.205337
58685.186956 1 20.1022 0.149775
58676.1874421 1 19.8382 0.22567
58673.1753009 1 19.8584 0.166959
58670.192419 1 19.8568 0.196132
58666.2037616 1 19.7253 0.144885
58657.1926736 1 19.6273 0.11916
58654.2541551 1 19.4699 0.135838
58651.1695949 1 19.5065 0.246215
58645.211169 1 19.3908 0.157301
58642.1924306 1 19.4882 0.10854
58639.2349537 1 19.4237 0.0954093
58636.2753935 1 19.3741 0.0911417
58633.2569329 1 19.4327 0.0916388
58628.2134259 1 19.1787 0.0838088
58622.1708796 1 19.2577 0.280935
58616.2320833 1 18.8931 0.100836
58612.2743287 1 18.7896 0.0624359
58606.380706 1 18.6342 0.0693278
58600.2368056 1 18.4299 0.0693359
58597.2915625 1 18.3854 0.0601767
58594.2522685 1 18.3673 0.0774775
58591.2704514 1 18.5355 0.166456
