ZTF19abvgnxg 0.110000 Ia
58775.1952546 2 20.0489 0.177508
58763.3382523 2 19.8246 0.131529
58759.3673611 2 19.4755 0.09581
58749.3049653 2 19.0179 0.0829497
58743.3604398 2 18.7393 0.131775
58739.4177431 2 18.7618 0.110255
58736.4272917 2 18.8869 0.0917589
58733.4105324 2 19.1084 0.0946306
58730.4259722 2 19.3801 0.124004
58727.488588 2 19.8531 0.150159
