ZTF19acoaoty 0.080000 Ia
58849.1694444 2 20.0117 0.125942
58846.1322917 2 19.6763 0.15741
58836.0992014 2 19.3502 0.146033
58833.2709838 2 19.2889 0.148108
58833.2268056 2 19.4416 0.147783
58830.2495833 2 19.3888 0.129805
58828.3136111 2 19.4197 0.218814
58819.2535648 2 19.0229 0.160033
58819.252662 2 19.1287 0.227787
58814.2045718 2 18.7303 0.0910079
58814.2027315 2 18.7237 0.10357
58814.1929745 2 18.682 0.0812001
58812.2152546 2 18.6689 0.0736015
58812.2105903 2 18.5648 0.0704298
58812.2011458 2 18.6756 0.067421
58811.3015278 2 18.6138 0.086679
58811.3005903 2 18.577 0.076807
58806.2448148 2 18.5335 0.0745747
58806.2439005 2 18.6242 0.0818726
58805.3427778 2 18.5299 0.0759135
58804.3519444 2 18.5865 0.0808123
58804.24875 2 18.5971 0.0751459
58804.2478356 2 18.729 0.0926459
58803.2969213 2 18.6525 0.084897
58803.2958912 2 18.6058 0.0822702
58801.2804398 2 18.5552 0.236209
58801.2799884 2 18.7351 0.179673
58798.3262269 2 18.8163 0.121218
58798.3257755 2 18.6945 0.133306
58798.3136343 2 19.041 0.179565
58797.3309606 2 19.0404 0.161371
58795.3325926 2 19.2228 0.102477
58795.3321296 2 19.3915 0.11817
58795.314213 2 19.3262 0.137273
58794.3171991 2 19.4234 0.11669
58794.3162847 2 19.3534 0.0990977
58793.3677199 2 19.4805 0.139089
58793.366794 2 19.6627 0.153407
58792.3576505 2 19.9115 0.118506
58791.3381366 2 19.8196 0.114381
58791.3367477 2 20.037 0.196952
