ZTF20aalejtl 0.062900 Ia
58915.3620718 2 18.8534 0.132679
58912.1724653 2 18.8961 0.107637
58909.1615278 2 18.7363 0.179346
58909.1205787 2 18.7726 0.16263
58906.1945023 2 18.7429 0.087362
58903.1932639 2 18.5058 0.0594058
58903.1816204 2 18.5451 0.0827089
58900.1870718 2 18.2274 0.0609788
58899.3104977 2 18.3221 0.051709
58898.1627083 2 18.2496 0.056875
58892.2837847 2 18.234 0.068381
58884.2080208 2 18.8592 0.154283
58882.1602315 2 19.2582 0.125789
58881.2607292 2 19.8026 0.134939
