ZTF20aafwyfk 0.123000 Ia
58881.2062963 1 19.9982 0.347907
58879.183831 1 19.0228 0.298036
58876.2288426 1 19.5432 0.130388
58876.2288426 1 19.5417 0.129322
58867.1920255 1 19.6469 0.215192
58864.185162 1 19.6954 0.120854
58864.1726042 1 19.7585 0.126783
58863.1633565 1 19.874 0.352641
58861.1094907 1 19.7073 0.230964
