ZTF19ablpxtf 0.020000 Ia
58735.4979745 2 19.8977 0.160604
58732.4936111 2 19.5737 0.1344
58725.4896181 2 19.2965 0.0933551
58722.4894097 2 19.3287 0.0887034
58719.4675463 2 19.2158 0.134436
58716.4937153 2 19.0073 0.0901704
58713.4046759 2 18.7786 0.124927
58710.4292245 2 18.6497 0.0957258
58707.4894444 2 18.6776 0.0697483
58704.4896181 2 18.6698 0.112618
58699.4926968 2 19.0351 0.0850294
58696.4694097 2 19.6372 0.0958772
