ZTF19adbnlki 0.039000 Ia
58904.1372106 1 20.5337 0.220733
58899.1644097 1 20.6856 0.230421
58893.1600926 1 20.2323 0.168835
58880.1072106 1 19.393 0.104568
58880.0961921 1 19.5889 0.171153
58879.1239468 1 19.244 0.248859
58877.1742477 1 19.3949 0.143406
58876.1506829 1 19.2205 0.106729
58876.1506829 1 19.2848 0.115775
58871.1753472 1 18.7064 0.0760031
58867.1595949 1 18.2095 0.151018
58867.1503241 1 18.1706 0.229331
58864.116331 1 18.0465 0.0566797
58859.1128588 1 17.7759 0.0552498
58856.1184491 1 17.6408 0.0593382
58853.1135995 1 17.711 0.0606553
58852.1432755 1 17.7584 0.0505718
58852.1175579 1 17.7386 0.0613006
58851.1527662 1 17.8527 0.087204
58849.1341551 1 17.9771 0.0554497
58849.1029282 1 18.0014 0.0491197
58846.2182176 1 18.4806 0.0579911
