ZTF19aanyubf 0.050000 Ia
58661.431794 2 20.4131 0.172651
58658.4038079 2 20.4842 0.250297
58639.4094907 2 19.8208 0.132773
58636.4328472 2 19.765 0.160871
58633.4271875 2 19.7241 0.155831
58607.4895023 2 18.6129 0.0688846
58601.4938657 2 18.4384 0.0778402
58593.448669 2 18.311 0.0953614
58582.4681019 2 17.7382 0.0486065
58574.4900579 2 17.5831 0.137673
