ZTF19abkgbul 0.038000 Ia
58727.4640972 1 20.727 0.234011
58726.49625 1 21.0644 0.295624
58724.4643981 1 20.4092 0.22072
58723.4972917 1 20.659 0.224413
58711.4997222 1 19.1586 0.123411
58707.4478125 1 18.7672 0.0951658
58704.4539815 1 18.5321 0.0863465
58701.4752199 1 18.4444 0.149668
58698.4692477 1 18.5819 0.0746564
58694.4648148 1 19.0281 0.0954
