ZTF18aaybfsd 0.040000 Ia
58985.2771181 2 19.9867 0.18968
58981.2546065 2 20.3688 0.295904
58973.3275579 2 19.9645 0.223724
58966.3487269 2 19.1791 0.18329
58964.408206 2 19.5093 0.158342
58962.3204977 2 19.4024 0.107423
58961.4110185 2 19.4842 0.203474
58956.3413194 2 19.6221 0.191562
58956.3323032 2 19.3912 0.164699
58955.4284954 2 19.3339 0.131923
58955.4256829 2 19.2428 0.109368
58954.463588 2 19.2848 0.143418
58954.4631134 2 19.1769 0.129251
58943.4676042 2 18.8524 0.0773093
58941.4283449 2 18.7348 0.0691556
58939.4292477 2 18.8623 0.151261
58939.428287 2 18.8289 0.134782
58936.4458333 2 18.5911 0.0961234
58936.4193519 2 18.4974 0.088178
58914.5156481 2 17.8784 0.0754738
58914.5141898 2 17.7793 0.0594662
58911.5140046 2 17.6918 0.0692363
58911.4918981 2 17.5383 0.0479906
58906.5099537 2 17.1797 0.059964
58903.5182176 2 17.1652 0.0609636
58903.5106944 2 17.0545 0.043743
58898.5165856 2 17.0682 0.040006
58895.4977546 2 17.1611 0.0443783
58893.5290046 2 17.3126 0.046349
58893.5285417 2 17.4406 0.0604829
58890.4970139 2 17.8382 0.116108
58890.4965509 2 17.7805 0.092201
58887.5443056 2 18.5692 0.093578
