ZTF20aaxxepr 0.080000 Ia
58987.3374537 2 18.4804 0.0603488
58984.4011227 2 18.5074 0.0595045
58980.3134144 2 18.6729 0.0774469
58977.3981829 2 18.7286 0.14501
58973.3754282 2 19.1916 0.159987
58972.3736343 2 19.3382 0.135633
58970.4161806 2 19.6875 0.137377
58968.4138194 2 20.438 0.249503
58967.378912 2 20.6478 0.308385
