ZTF20aaodkvl 0.029000 Ia
58962.2983449 2 19.2759 0.0976626
58961.4462269 2 19.1649 0.105621
58955.4555324 2 19.0353 0.0944919
58954.4949884 2 18.887 0.0782497
58953.4454514 2 18.8718 0.07786
58944.5088194 2 18.5527 0.072588
58943.4713542 2 18.4765 0.067748
58941.4338426 2 18.3432 0.075362
58936.5173611 2 18.2131 0.0501852
58914.5274653 2 17.0156 0.0395452
58913.4602662 2 16.8852 0.0330355
58912.4729167 2 16.8069 0.0338257
58911.5115741 2 16.6926 0.0379656
58908.4898611 2 16.5216 0.0314982
58908.4898611 2 16.5216 0.031498
58906.5127199 2 16.4675 0.041737
58904.5317245 2 16.4893 0.034391
58903.4615046 2 16.5447 0.032886
58899.4823032 2 16.8705 0.034604
58898.5324769 2 17.0297 0.04057
58895.4902083 2 17.8434 0.0579656
58894.5340625 2 18.2301 0.062417
58892.5163194 2 19.2623 0.114837
