ZTF19aavrswr 0.035000 Ia
58686.1910301 1 20.1966 0.223057
58683.1913657 1 20.0267 0.174169
58680.1901389 1 19.9052 0.305106
58674.2040394 1 19.8372 0.26057
58668.2085764 1 19.4709 0.115755
58665.1910764 1 19.1038 0.0702177
58661.2122917 1 18.6497 0.0787619
58658.2108681 1 18.3199 0.0877242
58655.2517708 1 17.8833 0.084905
58652.1718171 1 17.5323 0.0584934
58649.206875 1 17.3429 0.0662256
58645.2320023 1 17.1744 0.0621856
58642.2975 1 17.3019 0.0453981
58639.2308449 1 17.6876 0.0649837
58636.2740046 1 18.3439 0.0635834
58633.2514699 1 19.3897 0.110845
