ZTF18abzrgim 0.020800 II
58494.1335417 1 19.3269 0.142185
58491.1434722 1 19.273 0.126105
58487.1329514 1 19.2465 0.11546
58482.1240394 1 19.0865 0.138287
58472.1521759 1 18.9303 0.12137
58469.1512384 1 18.8027 0.128092
58437.2163657 1 18.8238 0.0882627
58434.1663889 1 18.7629 0.0793639
58429.2161343 1 18.7527 0.0633653
58426.2212963 1 18.8139 0.113702
58423.2218519 1 18.7861 0.0694128
58400.2843403 1 18.2966 0.0477959
58388.3099537 1 18.5025 0.081181
