ZTF19aapnzde 0.070870 Ia
58641.2829282 2 20.1598 0.162856
58638.2340741 2 19.9823 0.208065
58635.2519676 2 19.8421 0.132625
58619.3357292 2 19.007 0.227109
58618.2218403 2 19.1045 0.142551
58617.2875231 2 19.1678 0.137137
58612.4640972 2 19.0021 0.113075
58608.2652894 2 18.7583 0.0879677
58606.3146759 2 18.731 0.0886952
58606.2566782 2 18.6688 0.114274
58596.2961458 2 18.3608 0.0830522
58593.3078009 2 18.3602 0.113225
58589.2385764 2 18.7561 0.211372
58586.3538542 2 19.1103 0.105691
