ZTF19abzplvm 0.103000 Ia
58790.1639468 2 20.0858 0.204709
58789.2598843 2 19.9906 0.211439
58786.1342708 2 19.8394 0.19444
58785.1274421 2 19.8495 0.19833
58782.1266319 2 19.8997 0.161785
58781.1275463 2 19.5131 0.265005
58778.1278819 2 19.7267 0.174824
58777.1276968 2 19.6172 0.18048
58776.1273148 2 19.5177 0.191346
58775.1275347 2 19.6788 0.205908
58774.1278241 2 19.4492 0.187957
58772.1276273 2 19.5881 0.169978
58770.1274884 2 19.4102 0.221788
58769.126412 2 19.4462 0.17888
58768.1268866 2 19.3457 0.162109
58767.1266898 2 19.2103 0.254298
58766.1264931 2 19.1707 0.144483
58765.1267708 2 19.1136 0.121358
58764.1265856 2 19.1798 0.128174
58763.3459028 2 19.1119 0.133618
58760.2906829 2 18.9975 0.0792947
58757.311412 2 18.9092 0.0871997
58750.3189236 2 19.1864 0.122582
58747.4031713 2 19.4 0.148393
