ZTF18acwyowc 0.076000 Ia
58522.5320718 2 19.8232 0.198312
58511.5351389 2 19.3734 0.181093
58508.4934722 2 19.1521 0.135928
58494.5536111 2 18.7873 0.0679039
58486.5084144 2 18.2435 0.0582498
58481.4983681 2 18.2737 0.0611014
58480.5463426 2 18.2924 0.0780822
58476.4787384 2 18.376 0.0947325
58474.487662 2 18.6689 0.111464
58468.5327894 2 20.0744 0.165838
