ZTF19aawrumx 0.060000 Ia
58690.2874074 1 20.7946 0.253416
58677.3501736 1 20.3454 0.238643
58674.3237963 1 20.0124 0.19013
58668.282037 1 19.6389 0.118783
58665.220706 1 19.3476 0.0924479
58663.4481829 1 19.1386 0.126997
58661.4485069 1 18.9689 0.0953644
58660.4328472 1 18.934 0.0830131
58658.4489352 1 18.6896 0.0772209
58657.4491319 1 18.713 0.0815189
58655.3036111 1 18.4746 0.082621
58654.3108912 1 18.471 0.0736499
58652.4731597 1 18.5352 0.109982
58649.3874884 1 18.3431 0.0953244
58645.4283912 1 18.3991 0.0577612
58642.4053472 1 18.6235 0.0626716
58639.4202778 1 19.0889 0.0978251
58636.4405093 1 20.0732 0.127092
