ZTF18abimhfu 0.050000 II
58365.1348148 2 20.0176 0.168283
58362.1404051 2 19.7894 0.163886
58356.2144097 2 19.5014 0.216746
58346.1816204 2 19.5514 0.12462
58343.1614352 2 19.6067 0.134112
58336.2064468 2 19.6273 0.120254
58331.1919792 2 19.2649 0.113242
58325.2197917 2 18.8683 0.173758
58322.2330787 2 19.2183 0.135935
