ZTF18aauvnhh 0.058000 Ia
58300.1783681 2 19.7477 0.159712
58300.1774421 2 19.4936 0.174442
58294.2520486 2 19.1308 0.164714
58294.2500463 2 19.3345 0.152324
58291.2386574 2 18.9736 0.108678
58291.2371412 2 18.9767 0.13092
58288.2361574 2 18.9315 0.0834141
58288.2356829 2 18.908 0.0994623
58282.2163426 2 18.8631 0.0586536
58282.2154167 2 18.6906 0.0596954
58279.2556019 2 18.6392 0.0537758
58279.2384028 2 18.641 0.0525855
58276.1947222 2 18.7172 0.0521593
58276.1942593 2 18.6184 0.0518081
58270.25 2 18.2528 0.0601778
58270.25 2 18.382 0.0610058
58267.25 2 18.1703 0.0732709
58267.25 2 17.9984 0.0701718
