ZTF18abqlpgq 0.095268 Ia
58400.2267708 2 20.1425 0.143084
58385.2535301 2 19.5637 0.203258
58382.3200694 2 19.5098 0.168709
58379.3095023 2 19.3732 0.0939218
58376.3411806 2 19.2126 0.0791625
58373.2966319 2 19.0068 0.0758751
58370.2937847 2 18.9519 0.0773482
58367.3164352 2 18.9141 0.069492
58361.3110764 2 19.2225 0.0957628
58358.2732986 2 19.4215 0.170332
