ZTF20aamerev 0.090000 Ia
58915.1622569 2 19.6016 0.214479
58913.1977083 2 19.5655 0.22657
58913.196331 2 19.5535 0.22069
58912.177963 2 19.6378 0.245914
58906.2021528 2 19.4155 0.190753
58906.2003472 2 19.4233 0.136718
58903.2016782 2 19.2398 0.104524
58903.1863079 2 19.1986 0.16249
58903.1858333 2 19.3022 0.131936
58903.1740394 2 19.1984 0.131968
58900.2175231 2 19.0187 0.106692
58900.2166319 2 18.9505 0.0891878
58898.1585995 2 19.1128 0.121449
58898.1520602 2 18.953 0.090692
58898.1412847 2 19.0238 0.104765
58892.2800347 2 19.0475 0.133662
58892.2795602 2 19.0738 0.154356
