ZTF19aawmcjt 0.041000 II
58987.3374537 2 18.5886 0.10677
58980.3134144 2 18.5201 0.102178
58964.4190625 2 18.734 0.123559
58954.459838 2 18.5091 0.126774
58943.4762847 2 18.2641 0.0800126
58936.5028935 2 18.256 0.0872521
58914.5386921 2 18.3882 0.121972
58911.5182407 2 18.3662 0.0857453
58908.5156829 2 18.2289 0.072097
58908.5156829 2 18.2289 0.072097
58904.5224074 2 18.2694 0.102434
58899.5172338 2 18.2152 0.076543
58894.5270602 2 18.3587 0.11285
58885.5478356 2 18.3198 0.094788
58873.5373148 2 19.0124 0.104553
58647.2717477 2 19.7298 0.305011
