ZTF19aambfxc 0.055000 Ia
58913.5197106 1 19.4781 0.17293
58912.5349769 1 19.3904 0.140385
58911.5462963 1 19.2251 0.147539
58908.5535764 1 18.9669 0.124464
58905.5306713 1 18.5154 0.13132
58903.533125 1 18.4042 0.063443
58900.5392361 1 18.2121 0.108434
58899.5385069 1 18.0219 0.06431
58898.5523727 1 17.9833 0.06479
58895.5296296 1 17.7272 0.0723335
58894.5514583 1 17.6892 0.0619196
58893.4867245 1 17.6841 0.0738959
58892.5548843 1 17.6052 0.0593127
58891.4696528 1 17.5867 0.0607151
58890.5533218 1 17.6692 0.0965724
58887.4569329 1 17.5931 0.0654548
58886.4879398 1 17.5899 0.0588207
58885.4704167 1 17.6491 0.0778359
58881.5165856 1 17.9502 0.0707061
58880.4847685 1 18.0864 0.0959352
58879.5119792 1 18.2569 0.103429
58878.5353356 1 18.4617 0.106307
58876.5165394 1 19.09 0.108963
58876.5165394 1 19.0931 0.109234
58875.487419 1 19.4886 0.173017
58696.3089931 1 20.3399 0.296857
58688.3285532 1 19.3986 0.143805
58685.3654051 1 19.6708 0.203176
58684.2669213 1 19.5449 0.194004
58683.2768866 1 19.5555 0.14966
58680.1995255 1 19.5942 0.244899
58679.2907639 1 19.7612 0.197669
58677.3473958 1 19.8448 0.176974
