ZTF18aazsabq 0.050000 Ia
58345.3287963 2 20.449 0.192829
58332.3087037 2 20.0025 0.176027
58329.3088079 2 20.0032 0.216805
58326.3203588 2 19.6205 0.151664
58323.2600231 2 19.513 0.141363
58317.4254861 2 19.1567 0.148576
58314.4030903 2 19.0167 0.0855807
58308.3697801 2 18.9002 0.113691
58296.290081 2 18.2901 0.0817003
58293.3309375 2 18.2337 0.0563909
58290.359294 2 18.3629 0.0592617
58287.3234954 2 18.6392 0.0383494
58284.3523727 2 19.2936 0.0786956
58281.3664931 2 20.0936 0.133427
